# ASVS 5.0.0 Level 3 application profile
# requirement	level	status	evidence	rationale
15.2.1	1	verified	docs/security/ASVS.md	Application control is implemented and linked to tests and design evidence for section 15.2.
15.2.2	2	verified	docs/security/ASVS.md	Application control is implemented and linked to tests and design evidence for section 15.2.
15.2.3	2	pending-deployment	docs/security/ASVS.md	Production packaging and exclusion of development tooling require a deployment architecture decision.
15.2.4	3	verified	docs/security/ASVS.md	Application control is implemented and linked to tests and design evidence for section 15.2.
15.2.5	3	pending-deployment	docs/security/ASVS.md	Runtime isolation around dangerous parsing and cryptographic boundaries requires a deployment architecture decision.
15.3.1	1	verified	docs/security/ASVS.md	Application control is implemented and linked to tests and design evidence for section 15.3.
15.3.2	2	verified	docs/security/ASVS.md	Application control is implemented and linked to tests and design evidence for section 15.3.
15.3.3	2	verified	docs/security/ASVS.md	Application control is implemented and linked to tests and design evidence for section 15.3.
15.3.4	2	pending-deployment	docs/security/ASVS.md	Trusted proxy identity and original client address handling require an ingress or mesh decision.
15.3.5	2	verified	docs/security/ASVS.md	Application control is implemented and linked to tests and design evidence for section 15.3.
15.3.6	2	verified	docs/security/ASVS.md	Application control is implemented and linked to tests and design evidence for section 15.3.
15.3.7	2	verified	docs/security/ASVS.md	Application control is implemented and linked to tests and design evidence for section 15.3.
15.4.1	3	verified	docs/security/ASVS.md	Application control is implemented and linked to tests and design evidence for section 15.4.
15.4.2	3	verified	docs/security/ASVS.md	Application control is implemented and linked to tests and design evidence for section 15.4.
15.4.3	3	verified	docs/security/ASVS.md	Application control is implemented and linked to tests and design evidence for section 15.4.
15.4.4	3	verified	docs/security/ASVS.md	Application control is implemented and linked to tests and design evidence for section 15.4.
16.1.1	2	verified	internal/rpcapi/server.go	Application control is implemented and linked to tests and design evidence for section 16.1.
16.2.1	2	verified	internal/rpcapi/server.go	Application control is implemented and linked to tests and design evidence for section 16.2.
16.2.2	2	pending-deployment	docs/security/ASVS.md	Clock synchronization is a runtime and infrastructure responsibility.
16.2.3	2	pending-deployment	docs/security/ASVS.md	Approved log destinations depend on the telemetry collector and runtime configuration.
16.2.4	2	pending-deployment	docs/security/ASVS.md	The application emits JSON, but compatibility with the selected log processor requires deployment verification.
16.2.5	2	verified	internal/rpcapi/server.go	Application control is implemented and linked to tests and design evidence for section 16.2.
16.3.1	2	verified	internal/rpcapi/server.go	Application control is implemented and linked to tests and design evidence for section 16.3.
16.3.2	2	verified	internal/rpcapi/server.go	Application control is implemented and linked to tests and design evidence for section 16.3.
16.3.3	2	verified	internal/rpcapi/server.go	Application control is implemented and linked to tests and design evidence for section 16.3.
16.3.4	2	verified	internal/rpcapi/server.go	Application control is implemented and linked to tests and design evidence for section 16.3.
16.4.1	2	verified	internal/rpcapi/server.go	Application control is implemented and linked to tests and design evidence for section 16.4.
16.4.2	2	pending-deployment	docs/security/ASVS.md	Immutable external log transport and storage require deployment architecture.
16.4.3	2	pending-deployment	docs/security/ASVS.md	Immutable external log transport and storage require deployment architecture.
16.5.1	2	verified	internal/rpcapi/server.go	Application control is implemented and linked to tests and design evidence for section 16.5.
16.5.2	2	verified	internal/rpcapi/server.go	Application control is implemented and linked to tests and design evidence for section 16.5.
16.5.3	2	verified	internal/rpcapi/server.go	Application control is implemented and linked to tests and design evidence for section 16.5.
16.5.4	3	verified	internal/rpcapi/server.go	Application control is implemented and linked to tests and design evidence for section 16.5.
17.1.1	2	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
17.1.2	3	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
17.2.1	2	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
17.2.2	2	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
17.2.3	2	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
17.2.4	2	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
17.2.5	3	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
17.2.6	3	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
17.2.7	3	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
17.2.8	3	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
17.3.1	2	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
17.3.2	2	not-applicable	-	No web frontend, file handling, application session, or WebRTC functionality.
